EventType,Time,AccountId,X,Y,IsGame
LogPlayerPosition,1538167032081,account.3bd35bc801254ca79c81390d6ffab437,81564.59,730502.6,0.0
LogPlayerPosition,1538167032541,account.55b6e7b121424e8f9bcc3e9f7ab31520,83224.31,731356.06,0.0
LogPlayerPosition,1538167032851,account.3ecd3a553dae4d6ba4ce29281e0d2475,790511.56,340994.1,0.0
LogPlayerLogin,1538167033043,account.dc1edf2b68cc44be897c48ea79b1079b,0.0,0.0,0.0
LogPlayerCreate,1538167033068,account.dc1edf2b68cc44be897c48ea79b1079b,490200.5,633709.8,0.0
LogPlayerLogin,1538167033071,account.2f87a18ceaa34e3aaba2b8272ea4e041,0.0,0.0,0.0
LogPlayerCreate,1538167033091,account.2f87a18ceaa34e3aaba2b8272ea4e041,489903.7,632691.06,0.0
LogPlayerLogin,1538167033434,account.682c9048f5b44672b1d99d0e314e4277,0.0,0.0,0.0
LogPlayerCreate,1538167033452,account.682c9048f5b44672b1d99d0e314e4277,491036.84,633930.5,0.0
LogPlayerLogin,1538167033461,account.e9709f7c00894c48bf5bc5f7dc27f4e6,0.0,0.0,0.0
LogPlayerCreate,1538167033484,account.e9709f7c00894c48bf5bc5f7dc27f4e6,489778.75,632874.9,0.0
LogPlayerPosition,1538167033813,account.6c19cc4a57124ec3a516e66260b2fd66,789034.94,341799.94,0.0
